Oklahoma City Thunder
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Paul George,22,79,79,37.6,6.2,14.9,.419,2.2,5.9,.362,2.8,3.5,.807,1.1,6.5,7.6,4.1,1.8,0.6,2.9,2.9,17.4
2,David West,32,73,73,33.4,6.9,13.8,.498,0.1,0.3,.211,3.3,4.3,.768,2.0,5.7,7.7,2.9,1.0,0.9,2.2,2.0,17.1
3,D-George Hill,26,76,76,34.5,5.1,11.5,.443,1.7,4.6,.368,2.3,2.8,.817,0.6,3.1,3.7,4.7,1.1,0.3,1.5,1.8,14.2
4,Roy Hibbert,26,79,79,28.7,4.9,10.9,.448,0.0,0.1,.250,2.1,2.8,.741,3.7,4.6,8.3,1.4,0.5,2.6,2.1,3.5,11.9
5,Lance Stephenson,22,78,72,29.2,3.5,7.7,.460,0.8,2.4,.330,1.0,1.5,.652,0.6,3.3,3.9,2.9,1.0,0.2,1.4,2.1,8.8
6,Gerald Green,27,60,7,18.0,2.6,7.1,.366,1.0,3.1,.314,0.9,1.1,.800,0.5,1.8,2.4,0.8,0.3,0.4,0.9,1.1,7.0
7,Tyler Hansbrough,27,81,8,16.9,2.2,5.0,.432,0.0,0.0,.000,2.7,3.7,.720,2.0,2.6,4.6,0.4,0.4,0.2,1.0,1.9,7.0
8,Danny Granger,29,5,0,14.8,2.0,7.0,.286,0.4,2.0,.200,1.0,1.6,.625,0.6,1.2,1.8,0.6,0.4,0.2,0.8,1.2,5.4
9,Ian Mahinmi,26,80,2,16.5,1.9,4.1,.453,0.0,0.0,.000,1.3,2.1,.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5.0
10,D.J. Augustin,25,76,5,16.1,1.4,3.9,.350,0.9,2.5,.353,1.1,1.3,.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7
Atlanta Hawks
Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,D-Josh Smith,27,76,76,35.3,7.2,15.6,.465,0.8,2.6,.303,2.2,4.2,.517,1.8,6.7,8.4,4.2,1.2,1.8,3.0,2.3,17.5
2,Al Horford,26,74,74,37.2,7.8,14.3,.543,0.0,0.1,.500,1.8,2.8,.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,17.4
3,Jeff Teague,24,80,78,32.9,5.5,12.2,.451,1.1,3.1,.359,2.5,2.8,.881,0.3,1.9,2.3,7.2,1.5,0.4,2.9,2.3,14.6
4,Louis Williams,26,39,9,28.7,4.8,11.4,.422,1.8,5.0,.367,2.7,3.1,.868,0.2,1.8,2.1,3.6,1.1,0.3,1.9,1.4,14.1
5,Kyle Korver,31,74,60,30.5,3.7,8.1,.461,2.6,5.6,.457,0.9,1.1,.859,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,10.9
6,Devin Harris,29,58,34,24.5,3.3,7.6,.438,1.3,4.0,.335,1.9,2.7,.727,0.1,1.9,2.0,3.4,1.1,0.2,1.5,1.8,9.9
7,Ivan Johnson,28,69,5,15.0,2.7,5.2,.520,0.0,0.2,.077,1.2,1.9,.618,1.1,2.8,3.9,0.7,0.8,0.2,1.0,1.9,6.6
8,John Jenkins,21,61,2,14.8,2.1,4.8,.446,0.9,2.3,.384,1.0,1.1,.843,0.3,1.3,1.5,0.9,0.2,0.2,0.7,0.6,6.1
9,Zaza Pachulia,28,52,15,21.8,2.2,4.6,.473,0.0,0.1,.000,1.5,2.0,.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9
10,Anthony Morrow,27,24,1,12.5,2.0,4.6,.423,0.6,1.6,.395,0.7,0.8,.889,0.4,0.7,1.1,0.4,0.5,0.0,0.2,1.4,5.2


