#,Pokemon,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Total
621,Druddigon,77,120,90,60,90,48,485
622,Golett,59,74,50,35,50,35,303
623,Golurk,89,124,80,55,80,55,483
624,Pawniard,45,85,70,40,40,60,340
625,Bisharp,65,125,100,60,70,70,490
626,Bouffalant,95,110,95,40,95,55,490
627,Rufflet,70,83,50,37,50,60,350
628,Braviary,100,123,75,57,75,80,510
629,Vullaby,70,55,75,45,65,60,370
630,Mandibuzz,110,65,105,55,95,80,510
631,Heatmor,85,97,66,105,66,65,484
632,Durant,58,109,112,48,48,109,484
633,Deino,52,65,50,45,50,38,300
634,Zweilous,72,85,70,65,70,58,420
635,Hydreigon,92,105,90,125,90,98,600
636,Larvesta,55,85,55,50,55,60,360
637,Volcarona,85,60,65,135,105,100,550
638,Cobalion,91,90,129,90,72,108,580
639,Terrakion,91,129,90,72,90,108,580
640,Virizion,91,90,72,90,129,108,580
641,Tornadus-(Incarnate_Forme),79,115,70,125,80,111,580
641,Tornadus-(Therian_Forme),79,100,80,110,90,121,580
642,Thundurus-(Incarnate_Forme),79,115,70,125,80,111,580
642,Thundurus-(Therian_Forme),79,105,70,145,80,101,580
643,Reshiram,100,120,100,150,120,90,680
644,Zekrom,100,150,120,120,100,90,680
645,Landorus-(Incarnat_Forme),89,125,90,115,80,101,600
645,Landorus-(Therian_Forme),89,145,90,105,80,91,600
646,Kyurem-(Normal_Kyurem),125,130,90,130,90,95,660
646,Kyurem-(Black_Kyurem),125,170,100,120,90,95,700
646,Kyurem-(White_Kyurem),125,120,90,170,100,95,700
647,Keldeo,91,72,90,129,90,108,580
648,Meloetta-(Aria_Forme),100,77,77,128,128,90,600
648,Meloetta-(Pirouette_Forme),100,128,90,77,77,128,600
649,Genesect,71,120,95,120,95,99,600
